session_id,participant_id,block_order,grid_trials,baseline_trials,paired_complete,duplicate_session
0d7ae241-73d6-4269-97d8-f604078f379e,P06,baseline_first,6,1,True,False
0f1fff3b-b8b3-45ff-8015-7c1d0a85922b,P10,baseline_first,0,1,False,False
2d25052c-ffab-457a-a900-cd9c3cf68798,P16,baseline_first,0,1,False,False
446c0910-b992-421b-a71f-6f14f5d570ac,P11,prototype_first,6,1,True,False
537b958c-e93f-4cd0-b3db-2a5864a63405,P03,prototype_first,6,1,True,True
559da720-6afc-49b7-89ab-e70997d9ccc9,P05,prototype_first,6,1,True,False
628fd120-1465-494a-9e1c-834b9ab98a33,P26,baseline_first,6,1,True,False
650f25c0-daea-4465-a57f-197f216f8172,P17,prototype_first,6,1,True,False
6a234de7-7d7f-451d-8efa-349aea98cec0,P13,prototype_first,6,0,False,False
72696bff-7158-4940-93bc-b6f909bf1fad,P15,prototype_first,6,1,True,False
726ed3e4-5b5d-448b-baee-332fc548de21,P18,baseline_first,0,1,False,False
80020d71-0914-4315-b753-a35aa59d7f68,P27,prototype_first,6,1,True,False
850293e8-029f-43c6-9924-bcd88b33639a,P20,baseline_first,6,1,True,False
85730f96-a1e2-45ec-853d-fb6747eb5d6b,P14,baseline_first,6,1,True,False
9172312f-6586-46f2-89f7-ad2fe8d08115,P07,prototype_first,6,0,False,False
a41157df-05f4-45cd-8263-9d62ae91cdbe,P19,prototype_first,6,1,True,False
bf665272-a69a-44ad-bfff-2ecd6de735cf,P12,baseline_first,6,1,True,False
c3a3ba78-f1ef-42a5-807c-617f791b7165,P02,baseline_first,6,1,True,True
c8993d73-a752-49da-bec0-425cbac7c4b1,P04,baseline_first,6,1,True,False
f17a2a24-1145-4303-911c-d4c1c5b62fdb,P22,baseline_first,6,1,True,False
f716cfaf-f7d9-4f69-bee0-470ee9c6b330,P08,baseline_first,6,1,True,False
