variable,category,n,percent,denominator
blindness_onset,congenital,15,71.42857142857143,21
blindness_onset,early_onset,4,19.047619047619047,21
blindness_onset,prefer_not_to_say,2,9.523809523809524,21
age_at_vision_loss,from_birth,9,42.857142857142854,21
age_at_vision_loss,age_1_5,8,38.095238095238095,21
age_at_vision_loss,prefer_not_to_say,2,9.523809523809524,21
age_at_vision_loss,age_13_17,1,4.761904761904762,21
age_at_vision_loss,age_6_12,1,4.761904761904762,21
primary_language,hindi,11,52.38095238095238,21
primary_language,other,9,42.857142857142854,21
primary_language,english,1,4.761904761904762,21
language_proficiency,basic,8,38.095238095238095,21
language_proficiency,native,6,28.571428571428573,21
language_proficiency,fluent,5,23.80952380952381,21
language_proficiency,advanced,2,9.523809523809524,21
education_level,secondary,10,47.61904761904762,21
education_level,below_secondary,7,33.333333333333336,21
education_level,higher_secondary,2,9.523809523809524,21
education_level,postgraduate,2,9.523809523809524,21
captcha_familiarity,never,13,61.904761904761905,21
captcha_familiarity,slightly,5,23.80952380952381,21
captcha_familiarity,very,2,9.523809523809524,21
captcha_familiarity,moderately,1,4.761904761904762,21
screen_reader_frequency,weekly,8,38.095238095238095,21
screen_reader_frequency,never,4,19.047619047619047,21
screen_reader_frequency,less_than_weekly,3,14.285714285714286,21
screen_reader_frequency,most_days,3,14.285714285714286,21
screen_reader_frequency,daily,2,9.523809523809524,21
screen_reader_frequency,prefer_not_to_say,1,4.761904761904762,21
computer_proficiency,1,9,42.857142857142854,21
computer_proficiency,2,5,23.80952380952381,21
computer_proficiency,3,3,14.285714285714286,21
computer_proficiency,4,3,14.285714285714286,21
computer_proficiency,5,1,4.761904761904762,21
primary_input_method,keyboard,10,47.61904761904762,21
primary_input_method,voice,7,33.333333333333336,21
primary_input_method,braille_keyboard,2,9.523809523809524,21
primary_input_method,prefer_not_to_say,2,9.523809523809524,21
