column,missing_n,missing_percent
trial_pk,0,0.0
trial_id,130,100.0
participant_id,0,0.0
session_id,0,0.0
cohort,0,0.0
site,0,0.0
block_order,0,0.0
language,0,0.0
started_at,0,0.0
blindness_onset,0,0.0
age_at_vision_loss,0,0.0
primary_language,0,0.0
language_proficiency,0,0.0
education_level,0,0.0
captcha_familiarity,0,0.0
screen_reader_frequency,0,0.0
computer_proficiency,0,0.0
primary_input_method,0,0.0
condition,0,0.0
instance_id,0,0.0
order_position,0,0.0
item_index,0,0.0
solve_time_s,0,0.0
orientation_time_s,0,0.0
execution_time_s,0,0.0
correct,0,0.0
attempts,0,0.0
gave_up,0,0.0
difficulty_rating,2,1.5384615384615385
mental_effort,2,1.5384615384615385
frustration,2,1.5384615384615385
perceived_accessibility,2,1.5384615384615385
ease_of_navigation,2,1.5384615384615385
tab_away_events,0,0.0
excluded,0,0.0
exclusion_reason,130,100.0
clock_suspect,0,0.0
received_at,0,0.0
